sample,factor,vintage,cultivar,groups
PN12_A_1_8,mature,2012,PN,PN_time8_2012
PN12_A_1_9,mature,2012,PN,PN_time9_2012
PN12_A_2_1,green,2012,PN,PN_time1_2012
PN12_A_2_2,green,2012,PN,PN_time2_2012
PN12_A_2_3,green,2012,PN,PN_time3_2012
PN12_A_2_4,green,2012,PN,PN_time4_2012
PN12_A_2_5,mature,2012,PN,PN_time5_2012
PN12_A_2_6,mature,2012,PN,PN_time6_2012
PN12_A_2_7,mature,2012,PN,PN_time7_2012
PN12_A_2_8,mature,2012,PN,PN_time8_2012
PN12_A_2_9,mature,2012,PN,PN_time9_2012
PN12_A_3_1,green,2012,PN,PN_time1_2012
PN12_A_3_2,green,2012,PN,PN_time2_2012
PN12_A_3_3,green,2012,PN,PN_time3_2012
PN12_A_3_4,green,2012,PN,PN_time4_2012
PN12_A_3_5,mature,2012,PN,PN_time5_2012
PN12_A_3_6,mature,2012,PN,PN_time6_2012
PN12_A_3_7,mature,2012,PN,PN_time7_2012
PN12_A_3_8,mature,2012,PN,PN_time8_2012
PN12_A_3_9,mature,2012,PN,PN_time9_2012
PN13_0_1_0,green,2013,PN,PN_time0_2013
PN13_0_2_0,green,2013,PN,PN_time0_2013
PN13_0_3_0,green,2013,PN,PN_time0_2013
PN13_A_1_1,green,2013,PN,PN_time1_2013
PN13_A_1_10,mature,2013,PN,PN_time10_2013
PN13_A_1_2,green,2013,PN,PN_time2_2013
PN13_A_1_3,green,2013,PN,PN_time3_2013
PN13_A_1_4,green,2013,PN,PN_time4_2013
PN13_A_1_5,mature,2013,PN,PN_time5_2013
PN13_A_1_6,mature,2013,PN,PN_time6_2013
PN13_A_1_7,mature,2013,PN,PN_time7_2013
PN13_A_1_8,mature,2013,PN,PN_time8_2013
PN13_A_1_9,mature,2013,PN,PN_time9_2013
PN13_A_2_1,green,2013,PN,PN_time1_2013
PN13_A_2_10,mature,2013,PN,PN_time10_2013
PN13_A_2_2,green,2013,PN,PN_time2_2013
PN13_A_2_3,green,2013,PN,PN_time3_2013
PN13_A_2_4,green,2013,PN,PN_time4_2013
PN13_A_2_5,mature,2013,PN,PN_time5_2013
PN13_A_2_6,mature,2013,PN,PN_time6_2013
PN13_A_2_7,mature,2013,PN,PN_time7_2013
PN13_A_2_8,mature,2013,PN,PN_time8_2013
PN13_A_2_9,mature,2013,PN,PN_time9_2013
PN13_A_3_1,green,2013,PN,PN_time1_2013
PN13_A_3_10,mature,2013,PN,PN_time10_2013
PN13_A_3_2,green,2013,PN,PN_time2_2013
PN13_A_3_3,green,2013,PN,PN_time3_2013
PN13_A_3_4,green,2013,PN,PN_time4_2013
PN13_A_3_5,mature,2013,PN,PN_time5_2013
PN13_A_3_6,mature,2013,PN,PN_time6_2013
PN13_A_3_7,mature,2013,PN,PN_time7_2013
PN13_A_3_8,mature,2013,PN,PN_time8_2013
PN13_A_3_9,mature,2013,PN,PN_time9_2013
