,CS_time0_2012,CS_time0_2013,CS_time0_2014,CS_time10_2012,CS_time10_2013,CS_time10_2014,CS_time11_2012,CS_time11_2013,CS_time11_2014,CS_time12_2012,CS_time12_2013,CS_time12_2014,CS_time13_2013,CS_time1_2012,CS_time1_2013,CS_time1_2014,CS_time2_2012,CS_time2_2013,CS_time2_2014,CS_time3_2012,CS_time3_2013,CS_time3_2014,CS_time4_2012,CS_time4_2013,CS_time4_2014,CS_time5_2012,CS_time5_2013,CS_time5_2014,CS_time6_2012,CS_time6_2013,CS_time6_2014,CS_time7_2012,CS_time7_2013,CS_time7_2014,CS_time8_2012,CS_time8_2013,CS_time8_2014,CS_time9_2012,CS_time9_2013,CS_time9_2014,PN_time0_2012,PN_time0_2013,PN_time0_2014,PN_time10_2013,PN_time10_2014,PN_time11_2014,PN_time1_2012,PN_time1_2013,PN_time1_2014,PN_time2_2012,PN_time2_2013,PN_time2_2014,PN_time3_2012,PN_time3_2013,PN_time3_2014,PN_time4_2012,PN_time4_2013,PN_time4_2014,PN_time5_2012,PN_time5_2013,PN_time5_2014,PN_time6_2012,PN_time6_2013,PN_time6_2014,PN_time7_2012,PN_time7_2013,PN_time7_2014,PN_time8_2012,PN_time8_2013,PN_time8_2014,PN_time9_2012,PN_time9_2013,PN_time9_2014
RXN-9520__chlo,0.210865654,0.210650375,0.210865654,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210650375,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.210865654,0.210650375,0.210865654,0.141176471,0.141176471,0.141176471,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.210865654,0.141176471,0.210865654,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471,0.141176471
ORNITHINE-GLU-AMINOTRANSFERASE-RXN__mito,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
PROTOPORGENOXI-RXN__chlo,0.066670064,0.066670065,0.066670064,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670065,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066035654,0.066670064,0.066670064,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.066670064,0.066670065,0.066670064,0.050002581,0.050002581,0.050002581,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.066670064,0.050002581,0.066670064,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581,0.050002581
RXN-4021__er,0,0,0,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-OXOACYL-ACP-SYNTH-BASE-RXN__chlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RXN-12440__cyto,4.800016159,13.79719254,12.53728099,1.200009206,1.200009206,2.400006138,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,12.53728099,12.53728099,12.53728099,12.53728099,12.53728099,13.79719254,12.53728099,12.53728099,12.53728099,12.50321744,12.53728099,4.800016159,4.800016159,12.50321744,4.800016159,2.641306415,4.800016159,4.800016157,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,4.800016159,13.79719254,12.53728099,1.200009206,1.200009206,1.200009206,12.53728099,12.53728099,12.53728099,12.53728099,12.53728099,12.53728099,12.53728099,12.53728099,12.53728099,12.50321744,12.50321744,12.53728099,4.800016159,1.200009206,12.53728099,1.200009206,1.200009206,2.400006138,1.200009206,1.200009206,2.400006138,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206,1.200009206
GLUTDEHYD-RXN__chlo,136.7644247,136.7411721,136.7644247,97.25005978,97.25005978,97.25005978,97.21435953,97.2139623,97.2139623,97.25005978,97.2139623,97.2139623,97.2139623,136.7644247,136.7639018,136.7639018,136.7639018,136.7639018,136.7406491,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.6593417,136.7639018,136.7639018,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,136.7644247,136.7411721,136.7639018,97.2139623,97.25005978,97.25005978,136.7644247,136.7639018,136.7639018,136.7644247,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,136.7639018,97.25005978,136.7639018,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978,97.25005978
1.10.2.2-RXN__mito,38.72533443,38.71843939,38.72533443,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.71843939,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,38.72533443,38.71843939,38.72533443,4.8,4.8,4.8,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,38.72533443,4.8,38.72533443,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
PHOSPHOGLUCMUT-RXN__chlo,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
GLYCOLATEDEHYDRO-RXN__mito,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
